sentences,values
cinta buat asing hati buka pintu pada,0
toket lonte murah cocok remas tampar tarik puting nya keras,1
pake pki berangus lawan politik nya,0
brengsek orang tua taubateps,1
love mindun antek antek,0
lu kah onta gue nyediain hewan bang,0
ongkos cetak uang murah cetak uang cadang emas sembarang sedih nih guru ekonomi smp sma parpol oposisi cuit,0
soljum biar ganteng gua katolik emak gua gua ganteng anjing,0
sok ganteng banget si bencong,1
final lawan bani taplak saksi nonton bareng,0
anjing gue ogah liat muka lu,1
bacot lu cari lu dah,1
rak lo tau teman teman lo pintar kayak lo bloon bego bego mempan,1
simpan malang warisan selamat cagar budaya,0
datang portugis diri sekolah tuju didik baca tulis hitung mudah sebar agama katolik,0
jaman pbb gratis anggap aseng ternyata peduli rakyat pribumi,0
dongkrak bonus dealer enak ya kek rakit beli dongkrak buaya,0
kwon soonyoung kasir bilang diam laku layani langgan sasar empuk anak penasaran pipi gembul kecuali mata sipit,0
ajak negara oki buang islam lukman jalan damai timur,1
tki haji uma terima kasih ketua satu aneuk nanggroe aceh kana malaysia warga aceh malaysia sumbang bantu proses pulang jenazah,0
ahok si hina quran ulama sikap jijik sok suci btkcetnk,1
cebong kepala cebong pikir waras,1
selamat sore tweeps presiden jokowi pimpin rapat batas ratas istana presiden bogor rabu bahas cepat laksana usaha daring sendiri submisi oss poin arah simak ya,0
rezim soeharto lepas freeport kuasa jokowi anulir pp keluar sby salah hitung biaya keluar sesuai divestasi saham rampa,0
tuju pasang jokowi tuju coblos pasang,0
bocah gendeng tau teknologi gimana kimak,1
bicara teman teman muda seks bebas kasih suami rugi cewek pasti anak kelak nasab bapak,0
provokasi mayat politisasi agama sebab kalah pilkada dki cebong deskripsi kalah junjung fyi ahok pilih apa kec wakil etnis mayoritas,1
oh anies konon beliau balik aset indosat stop impor bikin mobil esemka swasembada pangan reformasi tani juta lapang kerja puskesmas stop uji nasional jabat ekonomi dollar bawah usut munir,0
damping presiden joko widodo temu ulama wilayah jawa barat selasa kemarin presiden ajak ulama perintah sejuk suasana jelang pilkada serentak,0
aktivis anak buah eks pki gerwani,0
satu semua tumbang tangan tuhan kuasa tuhan karma salah ingkar janji mawas diri,0
agama ideologi ganti agama lahir goa batu lembah silikon bas teknologi salah agama fokus bab teknologi humanisme lanjut cita liberal mengg,0
uu md gimana tuh,0
banding rezim sebelum nya lompat benar baik utama hukum,0
orang duduk deret belah kiri gue planet hollywood gatsu kampung asli komen film,1
deokspatch amigo tv benar sekarang nimdle kbs gue lupa judul sma cina korea lucu pokok,0
ekonomi salah ilmu sosial ajar aktivitas manusia hubung produksi distribusi konsumsi barang jasa,0
kitab suci sesuai agama anut kitab suci genap hidup,0
kopi susu kapal api sachet gula bungkus seduh pake air panas bungkus susu kpbs madu campur masuk plastik masuk frezzer jam ampas kopi beku nyaring,0
sinting banget nih orang,1
daerah suara kampung cebong,1
meldi kontrak promosi rawat kulit ya muka jelek si,1
alquran kitab sampah zakar silah ban,1
najis kuping gajah thailand belagu,1
iya bencong idiot lo emang bloon pake foto akui asli,1
adi gaya lu kaya beruk supir tembak metromini masuk dpr kampung lu,1
jisung akting sok keren lugas liat udik liat banget newbienya liat banget,1
lupa twitter instagram kalo foto komen ih cantik cantik cantik ih anjing cantik tau ih babi cantik pokok,1
intip moge iring iring presiden,0
iman tuhan rasul golong ateis iman tuhan tolak rasul sepet golong anti hadis iman tuhan tolak sebagian rasul yahudi tolak rasul nabi isa nasrani menola,0
ridwal kamil hebat top kaya ahok tukang nista agama koruptor,1
raja ampat papua barat orang malu budaya bawa bangun sebar agama kristen papua tau pengaruh orang malu ambon orang bel,0
ancam bunuh lucu diancem presiden bloon banget sih tuntut pidana berat nya,1
indonesia ganti presiden kopanye nang ruhut,0
admin belanja port baik nak makan ais kepal milo ais kepal horlicks cendol tambah doket mano gerai rujak mertua taipan kembar bayi romantika bank islam senawang,0
cocok banget orang biar hancur,1
ustadz rame bincang bgmna trmasuk nista agama,0
tebar nyir nyir teroris emang teroris identik bom,0
kunyuk asia antek asing,1
niat mandi bareng eh ngentot,1
ulama importir timur haus kopar kafir musyrik ah,1
bejat bangsat nyulik laku manusia iblis kali emosi gua anjer,1
gas suruh bicara jawa hama jawa acak jago kampung sok,1
bentar ultah ya unn kirim rombong topeng monyet ya raya,0
candi sawentar salah tinggal sejarah cantik komitmen gus ipul cantik hilang sejarah budaya dalam kabehsedulur kabehmakmur untukjatim gusipu,0
jokowi restu wna duduk jabat direksi bumn rizal ramli ampun deh,0
mas misqueen hani bani,0
suka cukur jembut manggung,1
lma ngewe nya tuh ampe,1
cowo miss ratu duit transgender biar miss ratu ketik sih,0
tau respon maju muka dekat banget berani natap mata,0
halu lebay edit nyaa lemak mana lemak mimpi tinggi,1
tutup congor lo bau bacot kerja lo,1
komisi dpr ri harap mutasi perwira panglima tni,0
bambang muka kontol hina ulama gue hajar dasar antek komunis,1
antek aseng import china pngusung pks gera indonesia raya nrut partai gera pernah munaspil kawan,0
lanciao emang kocak pikir,1
ya tetap situ tinggal mayoritas rakyat indonesia dungu periode akhir,1
gadis cakep bego pantas laku si ahok cina bau tai makan bubur encer ahok faham komunis nista islam kristen,1
dih homo anjir geli gue,1
lu berkarir taun si yakali duit sewa hotel lu ampe tumpang tidur rumah mantan artis porno,0
iya sipit ketawa iya marah ya rawat kulit mahal,0
anjir fuck kontol kuda,1
pagi indah memek mu,1
habis kesambet lu sok bijak dasar tai nama lu bagus sifat lu bajing,1
peluk senyum rasa jari masuk main memek mhh elus tangan,1
pintar bacot ya lawan nya sri,1
jimin kasih surel dasar homo jin sueeeee lo ngeshare apaaan lo gue idih ogaaaah rm gue doyan cewek buru apussssssssssssss,1
tulisan selalu sudut perintah isu tka cina tulis semenjak bukti kunjung polewali kalo tulis,0
ninja langgar atur sampah ninja tinggal sahabat rendah sampah uchiha obito naruto,0
rundung instagram ngeri fb anjing gua ngeri anjing,0
bani kacung kafir ketawa liat twit ya cung,1
negara maju gaji presiden pegawai perintah,0
gue salut rejim konsisten kenceng media massa kicep dunia nyata mantap,0
remaja gowa sekap perkosa anak umur,0
haahaha agiah taruih sanak pola baca komunis syiah murtadin mana bikin rusak,0
emang si ahok prestasi nol bicara tai ahok rahasia busuk rezim,1
revisi hukum pidana masuk klausul psk sukarela butuh indonesia gencar promosi surga wisata internasional nyata pagar,0
rumah select committee on assassinations hsca temu cacat investigasi fbi warren commission hsca simpul tembak konspirasi dalam,0
cebong kanan ngotot cawapres prabowo kalang kek cebong kiri,1
shaheizy sam wajah baharu calpis,0
naik onta sampai nya,0
beda foto lebar banget muka maaf foto edit ya,1
kpk ri awas tahana izin cuti pilkada kendali proyek perintah,0
sudirman said kritik perintah telantar kawasan industri sawerandirmanida sawerandirmanida saweranjateng,0
eh kau pki miband dah tinggl dah zaman jam besi mira,0
rohingya terrorist botak teroris budha,1
gue gila gila hoshi sesuai banget deskripsi lemah banget liat hoshi pake item rambut basah earrings bare face,0
puisi kau karya lahir orde suara suara orang orang tindas gera reformasi orde,0
orang jaman tau pisang obat pusing amat monyet pusing,0
makan tai lu monyet monyet,1
rep bantu lelang acc mata lo picek mentang nama depan lo bilang kalo gue ikut usn lo lo ikut,1
kalo jadu bantu bank asing,0
gembel ganteng kasihan cinta asik asik mantap,1
rekam jejak didik formal fakultas ekonomi universitas gajah mada,0
suka dunia matahari matahari siang malam hati,0
telat kasih tau edan sarap gue gaul cigax jifla cal licew,1
bodo mantap gua selamat,1
janji buka juta lapang kerja pres mulus tenaga kerja asing janji swasembada pangan impor beras garam janji turun harga bbm tarif dasar listrik bbm tdl din,0
eh bocah mending lo mati orang kayak lo,1
bhaapp korup indon kontol langsung tembak mati babi,1
om dengar kalo salah nikah ya wn asing mia audina wn belanda salah,0
siang malam maki ulama nongkrong medsos ulama bela nista agama sombong ampun,1
goblok lo bong suruh lapor pikir dungu katakan orang terima nyinyir mentang bela omong orang,1
cebong dungu korban php,1
eh wartawan selandia kampret berita kampret sebar wag konferensi pers,1
tulis pagi budaya minum obat moga guna,0
salah satu demo dukung jokowi emang bayar nasbung cebong maki panasbung,1
budak sekolah agama malaikat tolong tegur salah,0
selamat kartini kali raya makna kali,0
indonesia bully salah binatang nomor biar liar,1
nonton ulang khayal si dewa gembel adaptasi langsung aksi cocok yato nonton noragami,0
bagian ol bawah tato sempit kontol kena mantap,1
pikir onta kawan eh pakai buat kafir bacot semba,1
kemarin tanya enak anies sandi kuasa dki dengar,0
arah bawa pilkada dki ya kang bahaya laten ya pilkada bikin kayak gitu,0
mentari pagi agama kristen pagi umat nasrani lagu nasrani hadir,0
bajak agama agama penting beda tuju tentang ajar agama,0
maaf hati pemula kau sakit gagah diri senyum,0
stigma pki komunis kafir munafik babi lanjut ya dpr tuh teriak gantung bunuh usir wni etnis cina,1
satu summit si cherry curhat orang jeda jatuh si borjong,1
syahadat allah swt dungu biadab bangsa rusak fahri,1
mulut banci urus dasadasar iblis ujud manusia muncul jelang pilkada syaraf,1
gaya lo kampang gue tendang,1
anti asing dolar minggat sukuran mumet cermah doa toa ayat solusi produktivitas minim tuntut langit,0
umpetin setan loh mending mabar sudoku deh,1
ya biasa narasi keras bom sensitif situasi pikir mem,0
muka si babi ahok tuh serbet lantai,1
tak melayu hilang whatsapp yahudi dah beli,0
ya najis simbol agama hijab trend line malu umbar aib zinah suka liat dukung kaum luth malu muslim minimal musang birah mah pakai hijab,0
islam indah kristen kasih hindu cinta budha damai agama hormat,0
gue balik gue laku orang lo lo lebih bajing,1
lu bom gimana dah gua nih takut,0
liat onta dinamani langsung nyerbu wisata sekaliaan wisata gratisss,0
mata pejam tunggu tampar terima tampar suara asing laki laki masuk dengar arra buka,0
gua buta bahasa asing lelah kawan,0
acara takjil nama bom takjil,0
limbat bloon ya allah,1
bodoh ikut tampil kawan sifat kasih kristus pakai daster rambut gondrong jenggot bandot,1
miras oplos lari warga akibat ekonomi,0
jatuh timpa tangga alami ramli anwar pegawai pajak kena ott peras korban rp juta ramli pecat lewat,0
lu rem teh main setan,1
mutakhir muncul lahir lo islam agama kafir bilang bangkang,1
ahok bis gratis warga dki hidup enak,0
manis manis idiot orang,1
jejak bumerang indonesia hormat dunia presiden telah kembali pamor indonesia negara segani dunia,0
awak khawatir perintah kena periksa masuk tansi tantang,0
jembatan tuban ambruk resmi presiden soeharto,0
seng aseng manis nya,0
kristen pramugara ingat salah idola jaman lupa,0
ya gua emang sipit,0
jadi islam tolak pembaziran salah guna kuasa sila tutup periuk,0
ya allah sempurna sih cipta,0
colok headset hp colok dalem kampret,1
reaksi kecewa kalang ulama habib rizieq instruksi henti bully ruf amin kalang ulama clear analisa ulama pecah diri jalan benar jug,0
balik opp eunbi rela sma bom,0
iya mas orang kristen nyanyi jingle bell keren,0
mas kubu seberang tanggap nyata batas kasih gambar betapa inkonsisten kaum amuk teman non muslim tuntut adil ats tindak hukum nista agama lb,0
