sentences,values
mending bikin google form takut ngerep diusilin cowok bejat,0
rp haneul lucu rlnya perek on cuit ulang,1
boleh melet dosaa rik,0
ngakakakakaka bete banget asu,1
kader kok nih hitung bikin tagar congor jiplak moncong putih turun drastis,1
allah swt sembah muslim koar sombong kuasa sakti dungu biadab,1
gembel gembel twitter whatsapp japri whatsapp langsung blokir bencong,1
tante girang singaraja suka kontol,1
mending lo nungging gue ngentot gue angkat kaki lo biar kayak anjing kencing gue ngentot gue remas nenen lo keras kalo sange memek lo iler tetes lonte enak genjot diri,1
peluk bawa bom takjil,0
gembel warnet lu demen ikut gua lu posting kayak gambar atas emang lu berani hadap polisi tolong nih masuk pasal hina presiden,1
salah kasih teman muslim bilang kafir,0
ah iya gua sempat mikir super raksasa dikeluarin pas avenger kuat banget kalo lihat main marvel future fight super raksasa culun abis banding black order,0
ahok pilkada dki sembako kalah telak,0
ulah cebong kafir keparat,1
benci orang jelek pake selingkuh,1
hellow opsisi kasih kritik badan rumah,0
spoiler lari menang kacrut,1
renti ngewe dunia lucu,0
erudite apa mah bodoh gede congor,1
shummun bukmun umyun fahum laa yarji uun pekak bisu buta cukup mari doa terbaik penting doa zolim halang,0
nih cowok belah sentuh sepeda duluan hati berani hina mata,0
lu titit titit tamasya tai ah,1
enak nete tau bagus kenang facebook,1
bedebah teror psikologis pilih jokowi,1
ritual buka bumi budaya masyarakat polman pakat langkah langkah tentu jadwal turun sawah musim tanam gadu syukur hasil panen oleh kawalpetani,0
beli monyet george mana ya asik kali ya monyet,0
islam ihsan iman pondasi kau kau revisi revisi tak stabil nafsu sekutu mngusik,0
curiga bib tau takjil sianida bunuh ganti bom uwuwuww,0
hyunjin kejar kayak film hollywood lempar bom,0
loyal terhadap jokowi baik wapres beliau suka ikan suka uang mata duit,0
gitu gimana nih kawan mata sipit nih kawan,0
mikir keluarga korban bom ukhti otak dengkul kesal ya,1
warga badui selesai ingat tradisi seba pendopo pemkab lebak lanjut temu gubernur banten wahidin halim sabtu sabtu april,0
emang nikah muntah congor lu pake acara jijay jijay mampus malu,1
